record_date,devs_1dau,devs_7dau,devs_28dau
2020-01-01,184,1234,6521
2020-01-02,515,1296,6289
2020-01-03,516,1390,6148
2020-01-04,257,1436,6156
2020-01-05,233,1440,6135
2020-01-06,595,1583,6062
2020-01-07,764,1836,6015
2020-01-08,695,2056,5933
2020-01-09,715,2141,5812
2020-01-10,638,2146,5670
2020-01-11,227,2100,5627
2020-01-12,257,2102,5581
2020-01-13,679,2135,5438
2020-01-14,699,2087,5294
2020-01-15,662,2055,5073
2020-01-16,668,2002,4916
2020-01-17,619,1970,4830
2020-01-18,236,1996,4821
2020-01-19,281,2005,4845
2020-01-20,684,2021,4911
2020-01-21,777,2072,5013
2020-01-22,760,2132,5127
2020-01-23,734,2159,5175
2020-01-24,656,2169,5238
2020-01-25,272,2187,5257
2020-01-26,230,2172,5263
2020-01-27,657,2146,5314
2020-01-28,729,2106,5400
2020-01-29,754,2072,5511
2020-01-30,798,2115,5561
2020-01-31,770,2166,5605
2020-02-01,346,2198,5600
2020-02-02,308,2232,5622
2020-02-03,799,2300,5680
2020-02-04,807,2334,5607
2020-02-05,824,2380,5624
2020-02-06,829,2387,5637
2020-02-07,804,2370,5667
2020-02-08,352,2398,5745
2020-02-09,376,2430,5778
2020-02-10,858,2439,5823
2020-02-11,844,2462,5836
2020-02-12,831,2466,5878
2020-02-13,795,2449,5902
2020-02-14,706,2383,5906
2020-02-15,311,2354,5928
2020-02-16,342,2335,5945
2020-02-17,750,2317,5960
2020-02-18,882,2319,5966
2020-02-19,863,2341,5975
2020-02-20,803,2311,5966
2020-02-21,698,2283,5948
2020-02-22,320,2316,5971
2020-02-23,331,2310,6000
2020-02-24,755,2349,6022
2020-02-25,845,2344,6058
2020-02-26,860,2339,6089
2020-02-27,836,2355,6067
2020-02-28,796,2408,6060
2020-02-29,292,2401,6057
2020-03-01,279,2369,6033
2020-03-02,894,2425,6009
2020-03-03,879,2431,6045
2020-03-04,896,2462,6041
2020-03-05,848,2452,6017
2020-03-06,841,2425,6031
2020-03-07,338,2460,6015
2020-03-08,389,2525,6025
2020-03-09,868,2517,6032
2020-03-10,947,2544,6036
2020-03-11,885,2532,6058
2020-03-12,855,2544,6083
2020-03-13,753,2508,6116
2020-03-14,366,2542,6168
2020-03-15,364,2521,6166
2020-03-16,822,2498,6181
2020-03-17,839,2449,6171
2020-03-18,867,2450,6183
2020-03-19,901,2435,6216
2020-03-20,845,2461,6259
2020-03-21,437,2493,6310
2020-03-22,527,2557,6356
2020-03-23,932,2564,6367
2020-03-24,953,2612,6400
2020-03-25,942,2621,6404
2020-03-26,985,2656,6455
2020-03-27,926,2667,6435
2020-03-28,498,2714,6500
2020-03-29,530,2689,6563
2020-03-30,1000,2725,6579
2020-03-31,975,2736,6581
2020-04-01,1016,2776,6581
2020-04-02,1026,2799,6617
2020-04-03,893,2785,6590
2020-04-04,481,2785,6633
2020-04-05,495,2729,6607
2020-04-06,969,2732,6614
2020-04-07,999,2750,6583
2020-04-08,976,2742,6567
2020-04-09,911,2688,6563
2020-04-10,765,2651,6540
2020-04-11,476,2654,6560
2020-04-12,483,2669,6591
2020-04-13,865,2618,6604
2020-04-14,1098,2698,6705
2020-04-15,1081,2735,6739
2020-04-16,1058,2790,6787
2020-04-17,999,2848,6806
2020-04-18,496,2860,6819
2020-04-19,573,2925,6841
2020-04-20,1096,3006,6896
2020-04-21,1154,3048,6967
2020-04-22,1170,3072,7018
2020-04-23,1180,3136,7095
2020-04-24,1099,3196,7144
2020-04-25,552,3236,7166
2020-04-26,616,3262,7168
2020-04-27,1127,3281,7198
2020-04-28,1099,3252,7250
2020-04-29,1113,3278,7286
2020-04-30,1091,3213,7306
2020-05-01,787,3087,7294
2020-05-02,553,3084,7314
2020-05-03,571,3058,7346
2020-05-04,1120,3052,7384
2020-05-05,1113,3052,7407
2020-05-06,1163,3077,7451
2020-05-07,1168,3088,7490
2020-05-08,988,3156,7533
2020-05-09,593,3188,7568
2020-05-10,609,3200,7615
2020-05-11,1167,3251,7673
2020-05-12,1155,3242,7681
2020-05-13,1183,3268,7707
2020-05-14,1160,3231,7708
2020-05-15,1216,3371,7847
2020-05-16,694,3496,8025
2020-05-17,734,3621,8183
2020-05-18,1293,3717,8306
2020-05-19,1270,3792,8332
2020-05-20,1273,3832,8372
2020-05-21,1112,3826,8346
2020-05-22,1032,3669,8283
2020-05-23,623,3621,8350
2020-05-24,585,3492,8334
2020-05-25,1060,3400,8328
2020-05-26,1260,3375,8324
2020-05-27,1255,3340,8346
2020-05-28,1283,3401,8381
2020-05-29,1280,3519,8549
2020-05-30,679,3562,8652
2020-05-31,672,3656,8737
2020-06-01,1174,3705,8784
2020-06-02,1362,3793,8866
2020-06-03,1396,3912,8950
2020-06-04,1397,3945,9036
2020-06-05,1334,3909,9130
2020-06-06,677,3862,9138
2020-06-07,737,3889,9193
2020-06-08,1626,4126,9412
2020-06-09,1694,4336,9679
2020-06-10,1621,4513,9914
2020-06-11,1720,4764,10270
2020-06-12,1527,4972,10446
2020-06-13,816,5109,10511
2020-06-14,911,5174,10515
2020-06-15,1628,5165,10595
2020-06-16,1793,5154,10810
2020-06-17,1975,5355,11167
2020-06-18,2065,5541,11614
2020-06-19,1890,5694,11982
2020-06-20,1009,5814,12147
2020-06-21,1050,5913,12381
2020-06-22,1924,6088,12667
2020-06-23,1921,6150,12908
2020-06-24,1903,6058,13172
2020-06-25,1763,5857,13314
2020-06-26,1645,5662,13365
2020-06-27,902,5570,13407
2020-06-28,1053,5504,13473
2020-06-29,1917,5493,13674
2020-06-30,1919,5572,13890
2020-07-01,1915,5596,14095
2020-07-02,1938,5706,14286
2020-07-03,1657,5705,14430
2020-07-04,871,5705,14521
2020-07-05,879,5670,14553
2020-07-06,1831,5617,14555
2020-07-07,1881,5547,14530
2020-07-08,1881,5472,14513
2020-07-09,1922,5444,14474
2020-07-10,1751,5402,14438
2020-07-11,838,5398,14439
2020-07-12,892,5395,14430
2020-07-13,1777,5378,14481
2020-07-14,1821,5396,14466
2020-07-15,1893,5402,14353
2020-07-16,1892,5388,14184
2020-07-17,1728,5268,13961
2020-07-18,916,5331,13916
2020-07-19,926,5358,13828
2020-07-20,1834,5364,13728
